ncbiTaxID_new,superkingdom_id,superkingdom,phylum_id,phylum,class_id,class,order_id,order,family_id,family,genus_id,genus,species_id,species,rank_new,name_new,Temp,Temp_Range_Average,Temp_Duplicate_Average,Temp_Value,Type,Source,Source_ID
106578,2,Bacteria,1239,Bacillota,186801,Clostridia,68295,Thermoanaerobacterales,186814,Thermoanaerobacteraceae,1754,Thermoanaerobacter,106578,Thermoanaerobacter siderophilus,species,Thermoanaerobacter siderophilus,70.00,70.00,70.00,original,optimum,ThermoBase,ThermoBase248
108150,2,Bacteria,1239,Bacillota,186801,Clostridia,68295,Thermoanaerobacterales,186814,Thermoanaerobacteraceae,1754,Thermoanaerobacter,108150,Thermoanaerobacter italicus,species,Thermoanaerobacter italicus,70.00,70.00,70.00,original,optimum,"Lyubetsky et al., 2020",Lyu912
117503,2,Bacteria,200918,Thermotogota,188708,Thermotogae,2419,Thermotogales,1643950,Fervidobacteriaceae,2420,Thermosipho,117503,Thermosipho geolei,species,Thermosipho geolei,70.00,70.00,70.00,original,optimum,ThermoBase,ThermoBase285
146920,2157,Archaea,28889,Thermoproteota,183924,Thermoprotei,2281,Sulfolobales,118883,Sulfolobaceae,12914,Acidianus,146920,Acidianus tengchongensis,species,Acidianus tengchongensis,70.00,70.00,70.00,original,optimum,ThermoBase,ThermoBase292
159723,2,Bacteria,1239,Bacillota,186801,Clostridia,186802,Eubacteriales,539000,Clostridiales Family XVII. Incertae Sedis,73918,Thermaerobacter,159723,Thermaerobacter nagasakiensis,species,Thermaerobacter nagasakiensis,70.00,70.00,70.00,original,optimum,ThermoBase,ThermoBase251
161154,2,Bacteria,1239,Bacillota,186801,Clostridia,3039167,Moorellales,3039168,Moorellaceae,202949,Thermanaeromonas,161154,Thermanaeromonas toyohensis,species,Thermanaeromonas toyohensis,70.00,70.00,70.00,original,optimum,ThermoBase,ThermoBase338
171695,2,Bacteria,200940,Thermodesulfobacteriota,67799,Thermodesulfobacteria,188710,Thermodesulfobacteriales,3031464,Thermodesulfatatoraceae,241192,Thermodesulfatator,171695,Thermodesulfatator indicus,species,Thermodesulfatator indicus,70.00,70.00,70.00,original,optimum,Tempura,Tempura177
175696,2,Bacteria,1239,Bacillota,186801,Clostridia,186802,Eubacteriales,539000,Clostridiales Family XVII. Incertae Sedis,73918,Thermaerobacter,175696,Thermaerobacter subterraneus,species,Thermaerobacter subterraneus,70.00,70.00,70.00,original,optimum,ThermoBase,ThermoBase212
182900,2,Bacteria,200783,Aquificota,187857,Aquificia,32069,Aquificales,224027,Hydrogenothermaceae,182899,Persephonella,182900,Persephonella guaymasensis,species,Persephonella guaymasensis,70.00,70.00,70.00,original,optimum,ThermoBase,ThermoBase288
198703,2,Bacteria,200783,Aquificota,187857,Aquificia,32069,Aquificales,224027,Hydrogenothermaceae,182899,Persephonella,198703,Persephonella hydrogeniphila,species,Persephonella hydrogeniphila,70.00,70.00,70.00,original,optimum,ThermoBase,ThermoBase346
206045,2,Bacteria,1297,Deinococcota,188787,Deinococci,68933,Thermales,188786,Thermaceae,206044,Vulcanithermus,206045,Vulcanithermus mediatlanticus,species,Vulcanithermus mediatlanticus,70.00,70.00,70.00,original,optimum,ThermoBase,ThermoBase220
289377,2,Bacteria,200940,Thermodesulfobacteriota,67799,Thermodesulfobacteria,188710,Thermodesulfobacteriales,188711,Thermodesulfobacteriaceae,1740,Thermodesulfobacterium,1741,Thermodesulfobacterium commune,strain,Thermodesulfobacterium commune DSM 2178,70.00,70.00,70.00,original,optimum,ThermoBase,ThermoBase224
317015,2,Bacteria,1239,Bacillota,186801,Clostridia,186802,Eubacteriales,539000,Clostridiales Family XVII. Incertae Sedis,73918,Thermaerobacter,317015,Thermaerobacter litoralis,species,Thermaerobacter litoralis,70.00,70.00,70.00,original,optimum,ThermoBase,ThermoBase250
335383,2,Bacteria,1239,Bacillota,455491,Thermolithobacteria,455492,Thermolithobacterales,455493,Thermolithobacteraceae,335382,Thermolithobacter,335383,Thermolithobacter carboxydivorans,species,Thermolithobacter carboxydivorans,70.00,70.00,70.00,original,optimum,Tempura,Tempura212
351627,2,Bacteria,1239,Bacillota,nan,,3071001,Caldicellulosiruptorales,3071002,Caldicellulosiruptoraceae,44000,Caldicellulosiruptor,44001,Caldicellulosiruptor saccharolyticus,strain,Caldicellulosiruptor saccharolyticus DSM 8903,70.00,70.00,70.00,original,optimum,ThermoBase,ThermoBase222
391009,2,Bacteria,200918,Thermotogota,188708,Thermotogae,2419,Thermotogales,1643950,Fervidobacteriaceae,2420,Thermosipho,46541,Thermosipho melanesiensis,strain,Thermosipho melanesiensis BI429,70.00,70.00,70.00,original,optimum,ThermoBase,ThermoBase214
403219,2157,Archaea,28890,Euryarchaeota,183980,Archaeoglobi,2231,Archaeoglobales,2232,Archaeoglobaceae,2233,Archaeoglobus,403219,Archaeoglobus infectus,species,Archaeoglobus infectus,70.00,70.00,70.00,original,optimum,ThermoBase,ThermoBase282
407998,2,Bacteria,200783,Aquificota,187857,Aquificia,32069,Aquificales,224027,Hydrogenothermaceae,407997,Venenivibrio,407998,Venenivibrio stagnispumantis,species,Venenivibrio stagnispumantis,70.00,70.00,70.00,original,optimum,ThermoBase,ThermoBase289
